Target ID and Name,Resource Uri,Footprint Geojson Text,Footprint Geojson Text Length
A. Coral reefs,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00001:5ce4cb2d-384e-44a0-9464-d75ec71ae638/,"{""features"":[],""type"":""FeatureCollection""}",42
A. Coral reefs,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00003:5ce4cb2d-384e-44a0-9464-d75ec71ae638/,"{""features"":[],""type"":""FeatureCollection""}",42
A. Coral reefs,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00004:5ce4cb2d-384e-44a0-9464-d75ec71ae638/,"{""features"":[],""type"":""FeatureCollection""}",42
A. Coral reefs,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00005:5ce4cb2d-384e-44a0-9464-d75ec71ae638/,"{""features"":[],""type"":""FeatureCollection""}",42
A. Coral reefs,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00006:5ce4cb2d-384e-44a0-9464-d75ec71ae638/,"{""features"":[],""type"":""FeatureCollection""}",42
A. Coral reefs,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00007:5ce4cb2d-384e-44a0-9464-d75ec71ae638/,"{""features"":[{""geometry"":{""coordinates"":[[[153.670406,-4.06293],[153.668518,-4.066357],[153.668861,-4.06927],[153.669548,-4.072869],[153.670406,-4.076296],[153.671093,-4.080409],[153.672638,-4.083494],[153.674011,-4.086064],[153.675385,-4.088977],[153.675385,-4.092062],[153.674698,-4.095318],[153.673668,-4.097374],[153.67075,-4.100973],[153.670921,-4.103372],[153.67075,-4.105428],[153.671608,-4.108855],[153.669548,-4.112111],[153.667488,-4.113996],[153.66251,-4.114682],[153.660107,-4.114167],[153.657703,-4.113825],[153.655987,-4.112968],[153.653069,-4.113311],[153.650837,-4.115024],[153.649464,-4.117937],[153.647747,-4.121707],[153.647232,-4.123078],[153.650322,-4.124278],[153.65221,-4.12462],[153.654099,-4.124278],[153.654957,-4.121879],[153.6553,-4.119308],[153.658047,-4.118451],[153.660965,-4.118623],[153.664742,-4.118794],[153.66766,-4.117937],[153.670921,-4.115881],[153.674355,-4.113825],[153.676758,-4.111254],[153.677959,-4.10817],[153.675728,-4.104743],[153.67487,-4.102344],[153.676243,-4.099773],[153.678989,-4.097031],[153.679848,-4.094804],[153.678131,-4.090691],[153.676929,-4.084522],[153.676758,-4.08178],[153.676414,-4.078524],[153.674526,-4.07424],[153.672981,-4.070641],[153.674355,-4.067728],[153.676414,-4.064301],[153.675728,-4.06173],[153.67281,-4.060359],[153.670406,-4.06293]]],""type"":""Polygon""},""properties"":{},""type"":""Feature""},{""geometry"":{""coordinates"":[[[153.727741,-4.04218],[153.727913,-4.045093],[153.730316,-4.04595],[153.734436,-4.045093],[153.737354,-4.044236],[153.740788,-4.043894],[153.744564,-4.042351],[153.749886,-4.04098],[153.753147,-4.040123],[153.757267,-4.038924],[153.758984,-4.036867],[153.761559,-4.032274],[153.762589,-4.028332],[153.762932,-4.024048],[153.763275,-4.022163],[153.763447,-4.018735],[153.758297,-4.017878],[153.755894,-4.019763],[153.751774,-4.024219],[153.751087,-4.027818],[153.749886,-4.032274],[153.747311,-4.033988],[153.741131,-4.037244],[153.738041,-4.038101],[153.733749,-4.038958],[153.729115,-4.040329],[153.727741,-4.04218]]],""type"":""Polygon""},""properties"":{},""type"":""Feature""}],""type"":""FeatureCollection""}",2095
B. Sharks,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00001:2bb4aa56-5f4f-4a2d-889c-e10650ea91f2/,"{""features"":[{""geometry"":{""coordinates"":[153.653412,-4.028475],""type"":""Point""},""properties"":{},""type"":""Feature""},{""geometry"":{""coordinates"":[153.653412,-4.00791],""type"":""Point""},""properties"":{},""type"":""Feature""},{""geometry"":{""coordinates"":[153.643112,-4.005168],""type"":""Point""},""properties"":{},""type"":""Feature""}],""type"":""FeatureCollection""}",340
B. Sharks,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00003:2bb4aa56-5f4f-4a2d-889c-e10650ea91f2/,"{""features"":[{""geometry"":{""coordinates"":[154.150887,-4.436642],""type"":""Point""},""properties"":{},""type"":""Feature""},{""geometry"":{""coordinates"":[154.149857,-4.443151],""type"":""Point""},""properties"":{},""type"":""Feature""},{""geometry"":{""coordinates"":[154.142647,-4.449659],""type"":""Point""},""properties"":{},""type"":""Feature""},{""geometry"":{""coordinates"":[154.130287,-4.450002],""type"":""Point""},""properties"":{},""type"":""Feature""}],""type"":""FeatureCollection""}",441
B. Sharks,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00004:2bb4aa56-5f4f-4a2d-889c-e10650ea91f2/,"{""features"":[],""type"":""FeatureCollection""}",42
B. Sharks,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00005:2bb4aa56-5f4f-4a2d-889c-e10650ea91f2/,"{""features"":[],""type"":""FeatureCollection""}",42
